software_name,case_name,tls_version,sni_name,host_header_name,issuer,resumption,result.summary,result.ticket_resumed,result.body,result.response_status_code,result.response_body,result.full_response_cert,result.full_response_body,result.full_body_equals_resumption_body,result.full_body_equals_cert
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,a.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_0_7080,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_0_7080,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_0_7080,openlitespeed_w_admin_additional_1_7080,0,True,"{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>}","{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",True,False
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,b.com,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,b.com,openlitespeed_w_admin_additional_0_7080,0,False,"{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'openlitespeed_w_admin_additional_0_7080'}","{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,b.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_1_7080,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_1_7080,openlitespeed_w_admin_additional_0_7080,0,True,"{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{'openlitespeed_w_admin_additional_1_7080', <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>}","{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",True,False
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,ticket issuer host,openlitespeed_w_admin_additional_1_7080,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,a.com,openlitespeed_w_admin_additional_0_7080,0,False,"{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'openlitespeed_w_admin_additional_0_7080', <RemoteRole.HOST_VALUE: 'host header value'>}","{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,a.com,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,a.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_0_7080,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_0_7080,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_0_7080,openlitespeed_w_admin_additional_1_7080,0,True,"{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>}","{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",True,False
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,b.com,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,b.com,openlitespeed_w_admin_additional_0_7080,0,False,"{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'openlitespeed_w_admin_additional_0_7080', <RemoteRole.HOST_VALUE: 'host header value'>}","{'openlitespeed_w_admin_additional_0_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,b.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080', <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_1_7080,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, 'a.com', <RemoteRole.HOST_VALUE: 'host header value'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_1_7080,openlitespeed_w_admin_additional_0_7080,0,True,"{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",302,b'',"{'openlitespeed_w_admin_additional_1_7080', <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>}","{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>, <RemoteRole.SNI_VALUE: 'sni value'>}",True,False
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,resumption host,resumption host,openlitespeed_w_admin_additional_1_7080,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteRole.SNI_VALUE: 'sni value'>, <RemoteRole.HOST_VALUE: 'host header value'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,a.com,openlitespeed_w_admin_additional_0_7080,0,False,"{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_0_7080'}","{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,a.com,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,a.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,openlitespeed_w_admin_additional_0_7080,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,openlitespeed_w_admin_additional_0_7080,b.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>B</title>\n</head>\n\n<body>You have been served b.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'b.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,openlitespeed_w_admin_additional_0_7080,openlitespeed_w_admin_additional_1_7080,0,True,"{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",302,b'',"{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>}","{'openlitespeed_w_admin_additional_1_7080', 'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>, <RemoteAlias.TICKET_ISSUER: 'ticket issuer host'>, <RemoteRole.HOST_VALUE: 'host header value'>}",True,False
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,b.com,a.com,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}",200,b'<!doctype html>\n<html>\n\n<head>\n    <title>A</title>\n</head>\n\n<body>You have been served a.com!</body>\n\n</html>',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'a.com'}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,b.com,openlitespeed_w_admin_additional_0_7080,0,False,"{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_0_7080'}","{'openlitespeed_w_admin_additional_0_7080', <RemoteAlias.RESUMPTION: 'resumption host'>}",True,True
openlitespeed_w_admin,two-servers-same-stek,TLSv1.2,,ticket issuer host,b.com,openlitespeed_w_admin_additional_1_7080,0,False,"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}",302,b'',"{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}","{<RemoteAlias.RESUMPTION: 'resumption host'>, 'openlitespeed_w_admin_additional_1_7080'}",True,True
